city,lat,lng,province,country,Cairo,Cairo_r,Giza,Giza_r,Alexandria,Alexandria_r,6th October city,6th October city_r,Shubrā al Khaymah,Shubrā al Khaymah_r,Al Manşūrah,Al Manşūrah_r,Ḩalwān,Ḩalwān_r,Al Maḩallah al Kubrá,Al Maḩallah al Kubrá_r,Port Said,Port Said_r,Suez,Suez_r,Ţanţā,Ţanţā_r,Az Zaqāzīq,Az Zaqāzīq_r,Ismailia,Ismailia_r,Kafr ad Dawwār,Kafr ad Dawwār_r,Damanhūr,Damanhūr_r,Damietta,Damietta_r,Shibīn al Kawm,Shibīn al Kawm_r,Banhā,Banhā_r,Kafr ash Shaykh,Kafr ash Shaykh_r,Disūq,Disūq_r,Bilbays,Bilbays_r,Mīt Ghamr,Mīt Ghamr_r,Munūf,Munūf_r,Rosetta,Rosetta_r,Maţrūḩ,Maţrūḩ_r,Hihyā,Hihyā_r,Şān al Ḩajar al Qiblīyah,Şān al Ḩajar al Qiblīyah_r,Fāraskūr,Fāraskūr_r,Al Ḩusaynīyah,Al Ḩusaynīyah_r,Safājā,Safājā_r,Qahā,Qahā_r,Hirrīyat Raznah,Hirrīyat Raznah_r,Kafr Shukr,Kafr Shukr_r,Sīwah,Sīwah_r,Shārūnah,Shārūnah_r,Madinat as-Sadat,Madinat as-Sadat_r,Fayed,Fayed_r,Itay Al Barud,Itay Al Barud_r,Abu Al Matamir,Abu Al Matamir_r,An Nubariyah,An Nubariyah_r,10th of Ramadan City,10th of Ramadan City_r,El Obour City,El Obour City_r,El-Qantara el-Sharqîya,El-Qantara el-Sharqîya_r,Samadun,Samadun_r
Cairo,30.0561,31.2394,Al Qāhirah,Egypt,0.0,,8.109446728173376,10.031,179.3381173632447,,32.956964459163956,40.104,8.041446088414085,11.929,111.04718169614644,,25.446965606151927,34.843,101.19102784766052,,165.92033235866,,125.22140909323998,,83.8340194423541,,61.905370981977015,,114.79191279848818,,160.8125254904926,,132.80441364411652,,160.80965238794394,,67.78486915383222,,45.450046427704486,,119.0117378441374,,131.95931349465775,,50.89729777547629,,73.54500075230568,,54.21774710840251,,168.55768208428407,,409.06440584138204,,75.83270473085119,,119.1677263466576,,148.35778130486906,,110.57130314602624,,451.4611251470717,,25.470641380163656,28.232,67.03157388796349,,54.486104424825974,,562.2095662535324,,166.3804583980716,,76.89809548612786,,106.78083970551995,,107.47201557695652,,139.3749124639957,,131.97568084318223,,54.31366019088704,,28.362954562948005,39.169,138.0275779738244,,41.514591398310905,
Giza,29.9870,31.2118,Al Jīzah,Egypt,8.109446728173376,12.206,0.0,,183.05850674725357,,28.072405639842568,,15.968233610988529,20.776,118.98949831535707,,19.960551783071132,24.533,108.69635958020012,,173.66549156917108,,127.55534743657134,,90.59358798752844,,69.99125617310911,,121.11957196603056,,164.96399569775085,,137.84656769471667,,168.9180210678468,,73.47104836059107,,52.83584564930464,,125.92019316827941,,137.86208006943286,,58.624947180902346,,81.31849472551126,,59.55372811251523,,174.2158484873246,,409.4404550171292,,83.88501638229826,,127.11860817343504,,156.4648699996376,,118.35662723043184,,446.93194701493223,,32.865927738349896,,75.10080050598967,,62.30918962131147,,558.5155160824507,,158.31759677323657,,78.5969975995497,,111.60483160185753,,112.81459508350154,,142.84288563731593,,133.91070681056627,,60.48155274560375,,35.46660459602482,,145.136084857992,,46.07955273834246,
Alexandria,31.2000,29.9167,Al Iskandarīyah,Egypt,179.3381173632447,,183.05850674725357,,0.0,,170.36440952351245,,173.9096581590809,,140.86756152438178,,202.9185342080912,,122.04802087041138,,225.55177499054653,,285.78918934281455,,113.31361910921802,,166.88184988718146,,234.8546945338939,,21.08303859448406,31.984,55.03170040468334,63.833,182.9014986046082,,115.67902310009607,,145.87704759856194,,99.15120400970147,,70.13269187299342,,180.19831035897147,,139.22017960670743,,126.76057287842107,,52.81174311444387,66.119,255.9808578394988,,170.45358922358955,,188.95354465842493,,171.84103156194973,,194.81942341453484,,629.4793791305125,,159.4670069078728,,168.476305661106,,148.0623048799212,,478.12826680772184,,302.6564503052552,,108.16794164036696,,249.3340122722209,,78.86808716291179,,40.482233934455934,62.79,60.50906116118091,,202.02768745716202,,184.6675046307869,,232.70027741968832,,137.92923974616775,
6th October city,29.9361,30.9269,Al Jīzah,Egypt,32.956964459163956,40.219,28.072405639842568,41.37,170.36440952351245,,0.0,,37.1519074074096,51.337,131.03074636476418,,40.704665324409376,,116.55066665442193,,195.2917684398531,,155.10685385101067,,94.18189680281645,,89.04515153993911,,147.55031773475864,,154.11720605926408,,131.15318621095116,,185.17541179302242,,72.75711003111715,,63.25894314697911,,129.05044086269947,,135.12522829799846,,81.45994658614553,,92.62781493289881,,58.82334093743975,,169.57212490864694,,386.45903887368814,,103.29128770794938,,147.28154597055183,,171.96902076516616,,140.02425348600778,,459.84103599004436,,46.628138520411305,,94.39853968692303,,75.23143187763391,,530.5134349755001,,148.93849479218065,,62.31081473233414,,139.48463679647605,,108.22201352777422,,129.92579209087893,,116.25098765035688,,87.22282182162607,,60.83059717839675,,169.7442635447651,,44.649255088266735,
Shubrā al Khaymah,30.1286,31.2422,Al Qalyūbīyah,Egypt,8.041446088414085,11.64,15.968233610988529,19.806,173.9096581590809,,37.1519074074096,,0.0,,103.04117440191149,,32.99806084573192,,93.19520009945074,,159.39147468812342,,125.7999243880985,,76.21653029579387,,54.526561745082326,,110.64401452333718,,155.04728018908295,,126.35793606162053,,153.19146318669388,,61.0025520417262,,37.53324862189624,,111.27704109639245,,124.86351337433636,,44.66491759526412,,65.50359743671883,,47.83105809034019,,161.60609223192435,,406.47175128821186,,68.59060537417999,,112.20059552222803,,140.63847415676315,,104.00877065728332,,457.7929702815186,,17.624204372780838,20.945,59.730330313987814,,46.445805402151684,,563.6911506515689,,174.27425260190483,,73.67492815987686,,104.64104748965461,,100.83504016680257,,134.228635999879,,128.22564806982402,,50.829893908947646,,23.97565314602497,,132.65440559612694,,36.05306541433878,
Al Manşūrah,31.0500,31.3833,Ad Daqahlīyah,Egypt,111.04718169614644,,118.98949831535707,,140.86756152438178,,131.03074636476418,,103.04117440191149,,0.0,,134.0129852784241,,22.652555729645133,30.55,88.63717437410776,,163.11946302240915,,47.08158899878627,59.256,54.73302185288667,76.134,99.10738405910763,,120.27256299332859,,87.49325034179257,,58.267297562522806,82.446,68.67817175183038,,67.95608092998347,,41.71948788390786,62.548,70.73690493130609,,72.3742816523681,,38.442306926713805,47.133,77.70579802337518,,99.76096160594913,,396.7690199041528,,46.68412752564967,62.513,48.11770830734048,62.966,44.26552929172318,54.693,55.29987661113823,71.662,537.4072882706699,,86.79542181815785,,51.71981855223782,82.142,56.85990769792837,66.139,601.2789926226745,,277.05337656208627,,109.82829935599673,,120.74209736461064,,71.81346742616913,,116.6609479588978,,133.21672894870295,,91.68678067276888,,93.02565356140292,,92.03891986615717,,88.92311436157338,
Ḩalwān,29.8419,31.3342,Al Qāhirah,Egypt,25.446965606151927,36.086,19.960551783071132,30.589,202.9185342080912,,40.704665324409376,,32.99806084573192,45.891,134.0129852784241,,0.0,,125.72898793712915,,180.72457741533745,,116.63035741399786,,109.19944052606175,,81.91897541860943,,121.71829559363542,,184.90774803725404,,157.73316239185442,,180.7266946163263,,93.06922877518626,,70.42081241292138,,144.27022539480006,,157.34871554330647,,67.54308792963869,,97.49732675770964,,79.30218360038177,,193.8642351659444,,426.6261859000463,,94.91470272503285,,136.31688165017565,,168.92994910840645,,126.21268730035618,,426.9744236189983,,50.61291507290251,,86.58474680733389,,78.42940908122675,,568.39148574687,,146.0590119820897,,97.64035166755573,,107.37134778613455,,132.59830537314835,,162.64538757668385,,152.92159116398665,,62.547757743356875,,43.332636245921314,,148.72712470981966,,66.00550588231661,
Al Maḩallah al Kubrá,30.9667,31.1667,Al Gharbīyah,Egypt,101.19102784766052,,108.69635958020012,,122.04802087041138,,116.55066665442193,,93.19520009945074,,22.652555729645133,28.541,125.72898793712915,,0.0,,111.05311493718898,,171.79061747470848,,25.837139992774897,28.411,54.63283459981311,,113.55517858254541,,101.09929274428947,,67.48199333644531,,79.89457774791276,,48.75892750586766,,55.878537445073015,,25.425074746641364,39.636,52.75863781938416,,72.01871837864589,,28.938519645478575,40.396,59.77071932765519,,86.00547166375557,,377.24217087607633,,52.29874820551479,,68.15249532548286,,65.95731677572951,,72.85715409942294,,539.5379178464865,,75.83104505383282,,53.714960420508014,,47.51664165031132,,578.7370046168576,,264.7695739363004,,88.57223901639034,,131.42259696304743,,49.59634337094101,,95.17566541925186,,110.70628108730709,,93.65165595782888,,88.36183254182686,,111.14712151913545,,72.56434155152529,
Port Said,31.2500,32.2833,Būr Sa‘īd,Egypt,165.92033235866,,173.66549156917108,,225.55177499054653,,195.2917684398531,,159.39147468812342,,88.63717437410776,,180.72457741533745,,111.05311493718898,,0.0,,144.27567756107038,,133.0145643044627,,106.51676413217153,,73.932750508405,,205.84189634849386,,174.63230299668493,,47.686735548769164,56.326,151.00775113794003,,136.96159807516764,,128.18528670662988,,156.4342676519508,,115.04304337034503,,113.86375236781207,,155.60538588534524,,178.19271806791937,,480.8690335932199,,92.39202398356403,,48.95755441962769,74.46,54.855145134907744,71.23,55.38271086853089,86.826,523.8629770257651,,149.13591312922458,,101.1615748302136,,124.53727956219883,,689.7525735056547,,325.2520474807066,,192.9019186571743,,104.15530936174062,,160.4506314959082,,204.885323054609,,221.75834743313,,119.23492416960069,,138.70650534919056,,42.016651932012586,71.451,162.3726202011544,
Suez,29.9667,32.5333,As Suways,Egypt,125.22140909323998,,127.55534743657134,,285.78918934281455,,155.10685385101067,,125.7999243880985,,163.11946302240915,,116.63035741399786,,171.79061747470848,,144.27567756107038,,0.0,,172.9620421568169,,119.62662148281515,,73.00923771330044,89.61,265.05939197592323,,231.88773940353985,,174.62319745245253,,171.75456548940238,,141.44914701246773,,197.15493252239656,,222.213667125958,,105.60768557254546,,147.92575545122776,,163.70818621163988,,257.52575437030987,,530.0539108288816,,119.49870095666157,,128.36429757871315,,170.26296987861275,,115.39989108574721,,381.84985024302705,,133.189858038019,,118.9812348018858,,137.7749491150073,,684.9945296854978,,223.27699934112178,,197.91883087532912,,43.855109580946554,58.066,206.96968672602452,,249.6317428251585,,250.06358579163836,,84.12145967222516,108.158,106.04315421352729,,102.42274111404987,,157.4581908065618,
